steps,Time
10,745
12,0
14,997
14,999
12,0
14,996
12,0
10,997
8,0
14,998
12,0
14,997
14,2007
12,2980
14,0
12,997
14,997
12,0
4,997
14,0
14,1011
10,0
12,985
14,0
14,997
14,0
12,996
14,0
12,998
14,0
12,2063
8,929
6,0
12,2009
4,993
12,1004
12,981
14,0
14,1004
14,0
10,991
14,0
12,4987
12,996
10,5992
12,4980
12,998
12,4985
12,2000
14,4023
12,3020
12,5991
10,1932
14,5987
10,5128
14,1115
14,4715
6,1993
14,5016
12,1965
10,4987
12,2048
8,1946
10,10030
4,1098
12,4838
10,989
12,994
12,4983
14,998
4,4985
4,997
14,997
10,3991
12,6979
14,2272
12,722
14,4987
8,2003
14,4980
14,995
12,4234
12,1752
10,3989
12,7040
10,3933
14,1994
8,5058
12,4912
8,2991
12,3994
14,6258
12,2792
14,6904
6,3996
14,8972
12,5983
10,7977
6,4010
10,6967
10,5986


steps,Time
13,2126
13,4994
13,5029
13,7929
13,4221
13,2760
13,4996
15,5048
13,2923
15,4988
15,8535
13,4428
13,1991
13,8119
15,2854
15,3991
15,5983
13,5986
15,4217
15,2781
13,8963
13,1995
15,4979
15,5986
15,3002
13,1982
15,7032
15,9921
15,2000
15,4991
15,5979
13,2993
13,3984
13,5061
15,6907
13,4986
15,4990
15,6614
15,2359
15,5081
13,5891
13,2994
15,4096
15,6015
15,5903
13,4928
15,1995
15,5992
13,6974
15,2098
15,8875
13,3023
15,4951
13,5024
15,6112
13,4823
13,2002
13,4979
13,5985
15,1998
15,4986
13,5991
15,3011
15,2965
13,4608
13,2446
13,8904
15,1991
13,5020
15,6245
13,2697
15,4987
13,5987
15,4992
15,1988
13,4991
13,2196
15,8775
13,1987
15,4990
15,6053
15,2926
13,4733
15,5238
15,5980
15,3997
13,3022
15,7549
15,1997
13,4984
13,5047
15,5924
13,4988
15,2006
15,6001
15,4957
15,4991
15,5981
13,3991
13,2988
